Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,351.6700134277344,356.8299865722656,346.4100036621094,356.3999938964844,356.3999938964844,2015300
2021-01-05,357.8900146484375,369.44000244140625,357.3800048828125,366.5,366.5,2122900
2021-01-06,362.1099853515625,367.6000061035156,357.4800109863281,363.25,363.25,1170800
2021-01-07,366.8699951171875,374.20001220703125,364.6000061035156,367.2900085449219,367.2900085449219,1103000
2021-01-08,367.3599853515625,370.5400085449219,362.5899963378906,365.4599914550781,365.4599914550781,994900
2021-01-11,354.1300048828125,373.0799865722656,352.3399963378906,361.6600036621094,361.6600036621094,1754000
2021-01-12,361.6000061035156,362.25,351.1400146484375,356.92999267578125,356.92999267578125,1628000
2021-01-13,357.75,359.010009765625,350.5,352.1400146484375,352.1400146484375,1108700
2021-01-14,352.29998779296875,357.5899963378906,347.510009765625,347.7300109863281,347.7300109863281,1047700
2021-01-15,347.0,347.20001220703125,337.42999267578125,344.5,344.5,1401200
2021-01-19,346.489990234375,348.54998779296875,340.1499938964844,342.25,342.25,1200100
2021-01-20,344.9100036621094,357.1300048828125,343.80999755859375,355.1199951171875,355.1199951171875,1311000
2021-01-21,356.760009765625,358.04998779296875,348.79998779296875,349.2200012207031,349.2200012207031,840900
2021-01-22,349.1499938964844,350.1700134277344,344.4200134277344,346.3699951171875,346.3699951171875,651600
2021-01-25,347.1400146484375,350.0,335.0,339.989990234375,339.989990234375,1784500
2021-01-26,340.5,340.5,328.6499938964844,330.55999755859375,330.55999755859375,1962300
2021-01-27,325.5,331.489990234375,312.8999938964844,329.510009765625,329.510009765625,2104000
2021-01-28,330.79998779296875,336.5,328.70001220703125,330.239990234375,330.239990234375,1673400
2021-01-29,327.8500061035156,330.80999755859375,322.010009765625,328.67999267578125,328.67999267578125,1258000
2021-02-01,329.3800048828125,334.2200012207031,324.3999938964844,333.4700012207031,333.4700012207031,1410700
2021-02-02,335.82000732421875,344.3299865722656,334.6700134277344,343.9200134277344,343.9200134277344,1154200
2021-02-03,344.989990234375,345.0,331.5199890136719,332.3900146484375,332.3900146484375,1367900
2021-02-04,335.3399963378906,340.0,334.3500061035156,338.5899963378906,338.5899963378906,1143200
2021-02-05,340.20001220703125,340.20001220703125,332.9100036621094,334.0799865722656,334.0799865722656,1226700
2021-02-08,335.95001220703125,342.42999267578125,334.1199951171875,339.7099914550781,339.7099914550781,1039200
2021-02-09,336.6499938964844,342.3299865722656,334.1499938964844,340.69000244140625,340.69000244140625,948100
2021-02-10,341.20001220703125,344.9100036621094,338.010009765625,341.3900146484375,341.3900146484375,919100
2021-02-11,344.7200012207031,347.0,340.8599853515625,345.8900146484375,345.8900146484375,950400
2021-02-12,345.010009765625,345.6700134277344,339.25,342.8599853515625,342.8599853515625,829500
2021-02-16,344.19000244140625,345.0,339.2300109863281,339.8500061035156,339.8500061035156,862000
2021-02-17,338.07000732421875,338.5899963378906,331.19000244140625,337.5199890136719,337.5199890136719,869100
2021-02-18,334.8500061035156,338.4200134277344,325.75,336.8299865722656,336.8299865722656,1242800
2021-02-19,337.0,338.19000244140625,331.1199951171875,332.2300109863281,332.2300109863281,1171800
2021-02-22,328.80999755859375,328.80999755859375,319.30999755859375,321.489990234375,321.489990234375,1324400
2021-02-23,315.7699890136719,325.510009765625,304.8699951171875,322.8500061035156,322.8500061035156,1948100
2021-02-24,318.7900085449219,321.17999267578125,312.510009765625,317.70001220703125,317.70001220703125,1127900
2021-02-25,316.20001220703125,326.19000244140625,308.5799865722656,310.1199951171875,310.1199951171875,1278400
2021-02-26,312.3500061035156,316.5799865722656,306.3999938964844,311.67999267578125,311.67999267578125,1460800
2021-03-01,313.0899963378906,317.3500061035156,312.1099853515625,314.8299865722656,314.8299865722656,1315000
2021-03-02,316.510009765625,321.25,312.1000061035156,317.4700012207031,317.4700012207031,1371100
2021-03-03,313.69000244140625,315.75,295.67999267578125,295.989990234375,295.989990234375,2479200
2021-03-04,296.4100036621094,299.2799987792969,280.4800109863281,285.1400146484375,285.1400146484375,3084200
2021-03-05,290.45001220703125,293.82000732421875,269.2799987792969,293.239990234375,293.239990234375,2596200
2021-03-08,291.1700134277344,295.8699951171875,288.04998779296875,288.94000244140625,288.94000244140625,1966500
2021-03-09,296.95001220703125,304.8500061035156,294.7799987792969,298.3500061035156,298.3500061035156,1585200
2021-03-10,302.07000732421875,311.4100036621094,299.19000244140625,309.0,309.0,2368300
2021-03-11,313.5299987792969,315.3399963378906,308.739990234375,310.3399963378906,310.3399963378906,1804500
2021-03-12,304.4599914550781,307.70001220703125,299.010009765625,306.0799865722656,306.0799865722656,1260700
2021-03-15,306.7300109863281,314.57000732421875,304.1700134277344,314.32000732421875,314.32000732421875,875200
2021-03-16,315.54998779296875,316.8900146484375,305.70001220703125,308.75,308.75,1145600
2021-03-17,303.8900146484375,316.5899963378906,303.8900146484375,315.2200012207031,315.2200012207031,1022000
2021-03-18,311.1700134277344,316.20001220703125,305.2799987792969,306.3500061035156,306.3500061035156,1109900
2021-03-19,305.3699951171875,312.4800109863281,303.510009765625,308.7099914550781,308.7099914550781,1623600
2021-03-22,309.5899963378906,316.5199890136719,308.760009765625,313.6000061035156,313.6000061035156,889300
2021-03-23,314.2200012207031,321.29998779296875,312.8999938964844,314.0299987792969,314.0299987792969,1155200
2021-03-24,316.29998779296875,319.70001220703125,306.67999267578125,307.30999755859375,307.30999755859375,1039300
2021-03-25,303.55999755859375,307.8500061035156,298.5400085449219,306.2099914550781,306.2099914550781,1326800
2021-03-26,302.6099853515625,314.1499938964844,302.4800109863281,314.0,314.0,1109400
2021-03-29,317.4599914550781,319.79998779296875,310.25,316.1600036621094,316.1600036621094,1475100
2021-03-30,314.5199890136719,320.5799865722656,311.44000244140625,317.0899963378906,317.0899963378906,2537100
2021-03-31,307.6499938964844,311.69000244140625,300.04998779296875,306.7099914550781,306.7099914550781,4932400
2021-04-01,308.2900085449219,308.7900085449219,300.32000732421875,301.07000732421875,301.07000732421875,2987500
2021-04-05,302.8599853515625,302.8599853515625,295.8900146484375,298.75,298.75,2156400
2021-04-06,300.3800048828125,309.3299865722656,298.0199890136719,308.5199890136719,308.5199890136719,2004800
2021-04-07,306.8699951171875,311.32000732421875,304.75,306.0400085449219,306.0400085449219,1162200
2021-04-08,309.9700012207031,313.8800048828125,308.1099853515625,312.55999755859375,312.55999755859375,1550000
2021-04-09,311.45001220703125,319.29998779296875,310.6000061035156,318.1199951171875,318.1199951171875,1357900
2021-04-12,317.7799987792969,324.260009765625,314.3599853515625,323.8699951171875,323.8699951171875,1246900
2021-04-13,322.6700134277344,324.4200134277344,318.57000732421875,324.0,324.0,1077400
2021-04-14,323.8599853515625,325.0,321.2200012207031,323.0,323.0,1060500
2021-04-15,324.5400085449219,328.3999938964844,323.3999938964844,325.8299865722656,325.8299865722656,1058100
2021-04-16,325.510009765625,325.7300109863281,321.510009765625,324.1000061035156,324.1000061035156,923200
2021-04-19,321.4800109863281,324.9700012207031,321.4800109863281,322.2699890136719,322.2699890136719,1062600
2021-04-20,322.79998779296875,323.6499938964844,314.8299865722656,316.2900085449219,316.2900085449219,868200
2021-04-21,316.8999938964844,326.67999267578125,316.70001220703125,326.67999267578125,326.67999267578125,1243800
2021-04-22,326.17999267578125,338.8800048828125,326.17999267578125,338.75,338.75,2146700
2021-04-23,338.6099853515625,342.4599914550781,336.7099914550781,340.9800109863281,340.9800109863281,1641400
2021-04-26,340.6099853515625,341.1199951171875,334.8399963378906,337.79998779296875,337.79998779296875,787300
2021-04-27,338.0,341.4800109863281,336.20001220703125,339.2799987792969,339.2799987792969,617600
2021-04-28,339.2699890136719,342.0,335.5899963378906,338.05999755859375,338.05999755859375,626000
2021-04-29,340.8399963378906,347.0,339.1700134277344,342.8999938964844,342.8999938964844,1067300
2021-04-30,342.8599853515625,344.45001220703125,334.989990234375,335.2699890136719,335.2699890136719,1091600
2021-05-03,336.4700012207031,337.0199890136719,332.760009765625,335.3800048828125,335.3800048828125,757000
2021-05-04,330.0,331.989990234375,321.8800048828125,324.8999938964844,324.8999938964844,1025400
2021-05-05,326.8599853515625,330.739990234375,321.0199890136719,322.0899963378906,322.0899963378906,823800
2021-05-06,320.5,323.7699890136719,317.2900085449219,321.2799987792969,321.2799987792969,742000
2021-05-07,322.0299987792969,331.54998779296875,322.0299987792969,330.239990234375,330.239990234375,859900
2021-05-10,330.0,331.6499938964844,324.1499938964844,324.260009765625,324.260009765625,856900
2021-05-11,318.69000244140625,323.7699890136719,316.3999938964844,322.0400085449219,322.0400085449219,1200000
2021-05-12,317.0199890136719,321.70001220703125,304.29998779296875,305.2099914550781,305.2099914550781,1312800
2021-05-13,307.7799987792969,311.0400085449219,304.0,307.92999267578125,307.92999267578125,854300
2021-05-14,309.4200134277344,316.7699890136719,309.0,314.6499938964844,314.6499938964844,606400
2021-05-17,311.5,314.6499938964844,309.1199951171875,314.5400085449219,314.5400085449219,631800
2021-05-18,314.29998779296875,316.5799865722656,310.7900085449219,312.0299987792969,312.0299987792969,653600
2021-05-19,307.4599914550781,310.9200134277344,304.3800048828125,310.30999755859375,310.30999755859375,737700
2021-05-20,310.9100036621094,320.0400085449219,310.7200012207031,319.1700134277344,319.1700134277344,846200
2021-05-21,322.8699951171875,322.8699951171875,310.4100036621094,313.20001220703125,313.20001220703125,1186900
2021-05-24,315.239990234375,320.3999938964844,313.5,318.19000244140625,318.19000244140625,735700
2021-05-25,320.8399963378906,324.54998779296875,318.82000732421875,324.1099853515625,324.1099853515625,967700
2021-05-26,325.9100036621094,330.0299987792969,324.3699951171875,329.760009765625,329.760009765625,1049600
2021-05-27,327.5199890136719,331.3999938964844,323.7200012207031,328.1099853515625,328.1099853515625,1744100
2021-05-28,330.5199890136719,330.5199890136719,323.0,323.1300048828125,323.1300048828125,909400
2021-06-01,322.44000244140625,323.3900146484375,315.8999938964844,318.6199951171875,318.6199951171875,1318200
2021-06-02,319.9100036621094,321.7099914550781,315.7900085449219,320.7799987792969,320.7799987792969,1124900
2021-06-03,318.6300048828125,320.9200134277344,313.05999755859375,317.3599853515625,317.3599853515625,1954900
2021-06-04,321.8599853515625,331.0299987792969,318.5,329.5199890136719,329.5199890136719,2591100
2021-06-07,330.5299987792969,338.20001220703125,330.1099853515625,331.6099853515625,331.6099853515625,1444400
2021-06-08,334.8699951171875,335.489990234375,328.3299865722656,331.0,331.0,1134100
2021-06-09,331.0899963378906,331.7699890136719,325.6000061035156,327.2200012207031,327.2200012207031,861400
2021-06-10,329.0199890136719,332.760009765625,327.510009765625,329.79998779296875,329.79998779296875,671500
2021-06-11,331.1000061035156,338.69000244140625,329.5400085449219,338.29998779296875,338.29998779296875,957700
2021-06-14,340.7699890136719,347.239990234375,335.20001220703125,337.6199951171875,337.6199951171875,895800
2021-06-15,336.3900146484375,336.57000732421875,333.4200134277344,335.19000244140625,335.19000244140625,644600
2021-06-16,337.5199890136719,339.1400146484375,333.4700012207031,337.260009765625,337.260009765625,841200
2021-06-17,335.1499938964844,351.1000061035156,334.5,349.3999938964844,349.3999938964844,2003600
2021-06-18,346.2099914550781,351.260009765625,343.489990234375,347.57000732421875,347.57000732421875,1509700
2021-06-21,348.1700134277344,354.489990234375,345.7200012207031,352.2900085449219,352.2900085449219,829000
2021-06-22,352.2799987792969,360.25,352.04998779296875,359.1099853515625,359.1099853515625,921600
